Time,Location, Temp,Day,,
72.5,Lotic Estuary,28.5,3.020833333,,
72.75,Lotic Estuary,28.6,3.03125,,
73,Lotic Estuary,28.5,3.041666667,,
73.25,Lotic Estuary,28.5,3.052083333,,
73.5,Lotic Estuary,28.5,3.0625,,
73.75,Lotic Estuary,28.5,3.072916667,,
74,Lotic Estuary,28.4,3.083333333,,
74.25,Lotic Estuary,28.4,3.09375,,
74.5,Lotic Estuary,28.4,3.104166667,,
74.75,Lotic Estuary,28.4,3.114583333,,
75,Lotic Estuary,28.4,3.125,,
75.25,Lotic Estuary,28.5,3.135416667,,
75.5,Lotic Estuary,28.5,3.145833333,,
75.75,Lotic Estuary,28.5,3.15625,,
76,Lotic Estuary,28.3,3.166666667,,
76.25,Lotic Estuary,28.2,3.177083333,,
76.5,Lotic Estuary,28.3,3.1875,,
76.75,Lotic Estuary,28.3,3.197916667,,
77,Lotic Estuary,28.3,3.208333333,,
77.25,Lotic Estuary,28.2,3.21875,,
77.5,Lotic Estuary,28.1,3.229166667,,
77.75,Lotic Estuary,28,3.239583333,,
78,Lotic Estuary,28,3.25,,
78.25,Lotic Estuary,28,3.260416667,,
78.5,Lotic Estuary,27.9,3.270833333,,
78.75,Lotic Estuary,27.9,3.28125,,
79,Lotic Estuary,27.9,3.291666667,,
79.25,Lotic Estuary,27.9,3.302083333,,
79.5,Lotic Estuary,27.9,3.3125,,
79.75,Lotic Estuary,27.9,3.322916667,,
80,Lotic Estuary,27.8,3.333333333,,
80.25,Lotic Estuary,27.8,3.34375,,
80.5,Lotic Estuary,27.7,3.354166667,,
80.75,Lotic Estuary,27.8,3.364583333,,
81,Lotic Estuary,27.8,3.375,,
81.25,Lotic Estuary,27.7,3.385416667,,
81.5,Lotic Estuary,27.8,3.395833333,,
81.75,Lotic Estuary,27.8,3.40625,,
82,Lotic Estuary,27.7,3.416666667,,
82.25,Lotic Estuary,27.7,3.427083333,,
82.5,Lotic Estuary,27.8,3.4375,,
82.75,Lotic Estuary,27.7,3.447916667,,
83,Lotic Estuary,27.7,3.458333333,,
83.25,Lotic Estuary,27.7,3.46875,,
83.5,Lotic Estuary,27.7,3.479166667,,
83.75,Lotic Estuary,27.6,3.489583333,,
84,Lotic Estuary,27.5,3.5,,
84.25,Lotic Estuary,27.4,3.510416667,,
84.5,Lotic Estuary,27.4,3.520833333,,
84.75,Lotic Estuary,27.3,3.53125,,
85,Lotic Estuary,27.2,3.541666667,,
85.25,Lotic Estuary,27.1,3.552083333,,
85.5,Lotic Estuary,27.1,3.5625,,
85.75,Lotic Estuary,26.9,3.572916667,,
86,Lotic Estuary,26.9,3.583333333,,
86.25,Lotic Estuary,26.7,3.59375,,
86.5,Lotic Estuary,26.7,3.604166667,,
86.75,Lotic Estuary,26.6,3.614583333,,
87,Lotic Estuary,26.5,3.625,,
87.25,Lotic Estuary,26.4,3.635416667,,
87.5,Lotic Estuary,26.3,3.645833333,,
87.75,Lotic Estuary,26.2,3.65625,,
88,Lotic Estuary,26.2,3.666666667,,
88.25,Lotic Estuary,26.1,3.677083333,,
88.5,Lotic Estuary,26,3.6875,,
88.75,Lotic Estuary,25.9,3.697916667,,
89,Lotic Estuary,25.8,3.708333333,,
89.25,Lotic Estuary,25.5,3.71875,,
89.5,Lotic Estuary,25.4,3.729166667,,
89.75,Lotic Estuary,25.5,3.739583333,,
90,Lotic Estuary,25.6,3.75,,
90.25,Lotic Estuary,25.8,3.760416667,,
90.5,Lotic Estuary,26,3.770833333,,
90.75,Lotic Estuary,26.2,3.78125,,
91,Lotic Estuary,26.2,3.791666667,,
91.25,Lotic Estuary,26.4,3.802083333,,
91.5,Lotic Estuary,26.4,3.8125,,
91.75,Lotic Estuary,26.5,3.822916667,,
92,Lotic Estuary,26.6,3.833333333,,
92.25,Lotic Estuary,26.7,3.84375,,
92.5,Lotic Estuary,26.7,3.854166667,,
92.75,Lotic Estuary,27.1,3.864583333,,
93,Lotic Estuary,27.2,3.875,,
93.25,Lotic Estuary,27.1,3.885416667,,
93.5,Lotic Estuary,27.2,3.895833333,,
93.75,Lotic Estuary,27,3.90625,,
94,Lotic Estuary,27,3.916666667,,
94.25,Lotic Estuary,27,3.927083333,,
94.5,Lotic Estuary,27.2,3.9375,,
94.75,Lotic Estuary,27.2,3.947916667,,
95,Lotic Estuary,27,3.958333333,,
95.25,Lotic Estuary,27,3.96875,,
95.5,Lotic Estuary,27.5,3.979166667,,
95.75,Lotic Estuary,29.2,3.989583333,,
96,Lotic Estuary,29.1,4,,
96.25,Lotic Estuary,29.2,4.010416667,,
96.5,Lotic Estuary,28.6,4.020833333,,
96.75,Lotic Estuary,28.6,4.03125,,
97,Lotic Estuary,28.4,4.041666667,,
97.25,Lotic Estuary,28.4,4.052083333,,
97.5,Lotic Estuary,28.3,4.0625,,
97.75,Lotic Estuary,28.3,4.072916667,,
98,Lotic Estuary,28.3,4.083333333,,
98.25,Lotic Estuary,28.4,4.09375,,
98.5,Lotic Estuary,28.4,4.104166667,,
98.75,Lotic Estuary,28.4,4.114583333,,
99,Lotic Estuary,28.4,4.125,,
99.25,Lotic Estuary,28.4,4.135416667,,
99.5,Lotic Estuary,28.3,4.145833333,,
99.75,Lotic Estuary,28.2,4.15625,,
100,Lotic Estuary,28.1,4.166666667,,
100.25,Lotic Estuary,28,4.177083333,,
100.5,Lotic Estuary,27.8,4.1875,,
100.75,Lotic Estuary,27.7,4.197916667,,
101,Lotic Estuary,27.7,4.208333333,,
101.25,Lotic Estuary,27.9,4.21875,,
101.5,Lotic Estuary,27.9,4.229166667,,
101.75,Lotic Estuary,27.9,4.239583333,,
102,Lotic Estuary,28,4.25,,
102.25,Lotic Estuary,28,4.260416667,,
102.5,Lotic Estuary,28.1,4.270833333,,
102.75,Lotic Estuary,28.1,4.28125,,
103,Lotic Estuary,28.1,4.291666667,,
103.25,Lotic Estuary,28.1,4.302083333,,
103.5,Lotic Estuary,28.1,4.3125,,
103.75,Lotic Estuary,28,4.322916667,,
104,Lotic Estuary,28,4.333333333,,
104.25,Lotic Estuary,28,4.34375,,
104.5,Lotic Estuary,28,4.354166667,,
104.75,Lotic Estuary,28,4.364583333,,
105,Lotic Estuary,27.9,4.375,,
105.25,Lotic Estuary,27.9,4.385416667,,
105.5,Lotic Estuary,27.9,4.395833333,,
105.75,Lotic Estuary,27.9,4.40625,,
106,Lotic Estuary,27.9,4.416666667,,
106.25,Lotic Estuary,27.9,4.427083333,,
106.5,Lotic Estuary,27.9,4.4375,,
106.75,Lotic Estuary,27.9,4.447916667,,
107,Lotic Estuary,27.9,4.458333333,,
107.25,Lotic Estuary,27.8,4.46875,,
107.5,Lotic Estuary,27.8,4.479166667,,
107.75,Lotic Estuary,27.8,4.489583333,,
108,Lotic Estuary,27.8,4.5,,
108.25,Lotic Estuary,27.8,4.510416667,,
108.5,Lotic Estuary,27.8,4.520833333,,
108.75,Lotic Estuary,27.7,4.53125,,
109,Lotic Estuary,27.7,4.541666667,,
109.25,Lotic Estuary,27.6,4.552083333,,
109.5,Lotic Estuary,27.6,4.5625,,
109.75,Lotic Estuary,27.6,4.572916667,,
110,Lotic Estuary,27.5,4.583333333,,
110.25,Lotic Estuary,27.5,4.59375,,
110.5,Lotic Estuary,27.4,4.604166667,,
110.75,Lotic Estuary,27.4,4.614583333,,
111,Lotic Estuary,27.3,4.625,,
111.25,Lotic Estuary,27.3,4.635416667,,
111.5,Lotic Estuary,27.2,4.645833333,,
111.75,Lotic Estuary,27.2,4.65625,,
112,Lotic Estuary,27.1,4.666666667,,
112.25,Lotic Estuary,27.1,4.677083333,,
112.5,Lotic Estuary,27.1,4.6875,,
112.75,Lotic Estuary,27,4.697916667,,
113,Lotic Estuary,27,4.708333333,,
113.25,Lotic Estuary,26.9,4.71875,,
113.5,Lotic Estuary,26.9,4.729166667,,
113.75,Lotic Estuary,26.9,4.739583333,,
114,Lotic Estuary,26.9,4.75,,
114.25,Lotic Estuary,26.9,4.760416667,,
114.5,Lotic Estuary,26.8,4.770833333,,
114.75,Lotic Estuary,27.1,4.78125,,
115,Lotic Estuary,27.2,4.791666667,,
115.25,Lotic Estuary,27.4,4.802083333,,
115.5,Lotic Estuary,27.5,4.8125,,
115.75,Lotic Estuary,27.7,4.822916667,,
116,Lotic Estuary,27.9,4.833333333,,
116.25,Lotic Estuary,28.1,4.84375,,
116.5,Lotic Estuary,28.2,4.854166667,,
116.75,Lotic Estuary,28.3,4.864583333,,
117,Lotic Estuary,28.4,4.875,,
117.25,Lotic Estuary,28.4,4.885416667,,
117.5,Lotic Estuary,28.5,4.895833333,,
117.75,Lotic Estuary,28.8,4.90625,,
118,Lotic Estuary,28.5,4.916666667,,
118.25,Lotic Estuary,28.6,4.927083333,,
118.5,Lotic Estuary,28.6,4.9375,,
118.75,Lotic Estuary,28.7,4.947916667,,
119,Lotic Estuary,28.6,4.958333333,,
119.25,Lotic Estuary,28.6,4.96875,,
119.5,Lotic Estuary,28.6,4.979166667,,
119.75,Lotic Estuary,28.7,4.989583333,,
120,Lotic Estuary,28.9,5,,
120.25,Lotic Estuary,29.9,5.010416667,,
120.5,Lotic Estuary,30.6,5.020833333,,
120.75,Lotic Estuary,30.3,5.03125,,
121,Lotic Estuary,29.5,5.041666667,,
121.25,Lotic Estuary,29.5,5.052083333,,
121.5,Lotic Estuary,29.5,5.0625,,
121.75,Lotic Estuary,29.6,5.072916667,,
122,Lotic Estuary,29.6,5.083333333,,
122.25,Lotic Estuary,29.5,5.09375,,
122.5,Lotic Estuary,29.5,5.104166667,,
122.75,Lotic Estuary,29.5,5.114583333,,
123,Lotic Estuary,29.5,5.125,,
123.25,Lotic Estuary,29.5,5.135416667,,
123.5,Lotic Estuary,29.4,5.145833333,,
123.75,Lotic Estuary,29.4,5.15625,,
124,Lotic Estuary,29.4,5.166666667,,
124.25,Lotic Estuary,29.4,5.177083333,,
124.5,Lotic Estuary,29.4,5.1875,,
124.75,Lotic Estuary,29.4,5.197916667,,
125,Lotic Estuary,29.4,5.208333333,,
125.25,Lotic Estuary,29.3,5.21875,,
125.5,Lotic Estuary,29.2,5.229166667,,
125.75,Lotic Estuary,29.2,5.239583333,,
126,Lotic Estuary,29.3,5.25,,
126.25,Lotic Estuary,29.3,5.260416667,,
126.5,Lotic Estuary,29.2,5.270833333,,
126.75,Lotic Estuary,29.2,5.28125,,
127,Lotic Estuary,29.1,5.291666667,,
127.25,Lotic Estuary,29.1,5.302083333,,
127.5,Lotic Estuary,29.1,5.3125,,
127.75,Lotic Estuary,29,5.322916667,,
128,Lotic Estuary,29,5.333333333,,
128.25,Lotic Estuary,29,5.34375,,
128.5,Lotic Estuary,29,5.354166667,,
128.75,Lotic Estuary,29,5.364583333,,
129,Lotic Estuary,29,5.375,,
129.25,Lotic Estuary,29,5.385416667,,
129.5,Lotic Estuary,29,5.395833333,,
129.75,Lotic Estuary,29,5.40625,,
130,Lotic Estuary,29,5.416666667,,
130.25,Lotic Estuary,29,5.427083333,,
130.5,Lotic Estuary,29,5.4375,,
130.75,Lotic Estuary,29,5.447916667,,
131,Lotic Estuary,29,5.458333333,,
131.25,Lotic Estuary,28.9,5.46875,,
131.5,Lotic Estuary,28.9,5.479166667,,
131.75,Lotic Estuary,28.9,5.489583333,,
132,Lotic Estuary,28.9,5.5,,
132.25,Lotic Estuary,28.9,5.510416667,,
132.5,Lotic Estuary,28.9,5.520833333,,
132.75,Lotic Estuary,28.8,5.53125,,
133,Lotic Estuary,28.7,5.541666667,,
133.25,Lotic Estuary,28.7,5.552083333,,
133.5,Lotic Estuary,28.6,5.5625,,
133.75,Lotic Estuary,28.6,5.572916667,,
134,Lotic Estuary,28.6,5.583333333,,
134.25,Lotic Estuary,28.6,5.59375,,
134.5,Lotic Estuary,28.6,5.604166667,,
134.75,Lotic Estuary,28.5,5.614583333,,
135,Lotic Estuary,28.5,5.625,,
135.25,Lotic Estuary,28.5,5.635416667,,
135.5,Lotic Estuary,28.4,5.645833333,,
135.75,Lotic Estuary,28.4,5.65625,,
136,Lotic Estuary,28.3,5.666666667,,
136.25,Lotic Estuary,28.3,5.677083333,,
136.5,Lotic Estuary,28.2,5.6875,,
136.75,Lotic Estuary,28.2,5.697916667,,
137,Lotic Estuary,28.2,5.708333333,,
137.25,Lotic Estuary,28.2,5.71875,,
137.5,Lotic Estuary,28.2,5.729166667,,
137.75,Lotic Estuary,28.3,5.739583333,,
138,Lotic Estuary,28.3,5.75,,
138.25,Lotic Estuary,28.3,5.760416667,,
138.5,Lotic Estuary,28.3,5.770833333,,
138.75,Lotic Estuary,28.2,5.78125,,
139,Lotic Estuary,28.3,5.791666667,,
139.25,Lotic Estuary,28.4,5.802083333,,
139.5,Lotic Estuary,28.6,5.8125,,
139.75,Lotic Estuary,28.8,5.822916667,,
140,Lotic Estuary,28.9,5.833333333,,
140.25,Lotic Estuary,29,5.84375,,
140.5,Lotic Estuary,29.1,5.854166667,,
140.75,Lotic Estuary,29.3,5.864583333,,
141,Lotic Estuary,29.5,5.875,,
141.25,Lotic Estuary,29.5,5.885416667,,
141.5,Lotic Estuary,29.6,5.895833333,,
141.75,Lotic Estuary,29.7,5.90625,,
142,Lotic Estuary,29.7,5.916666667,,
142.25,Lotic Estuary,29.7,5.927083333,,
142.5,Lotic Estuary,29.7,5.9375,,
142.75,Lotic Estuary,29.8,5.947916667,,
143,Lotic Estuary,29.8,5.958333333,,
143.25,Lotic Estuary,29.8,5.96875,,
143.5,Lotic Estuary,29.7,5.979166667,,
143.75,Lotic Estuary,29.7,5.989583333,,
144,Lotic Estuary,29.7,6,,
144.25,Lotic Estuary,29.7,6.010416667,,
144.5,Lotic Estuary,29.8,6.020833333,,
144.75,Lotic Estuary,30.6,6.03125,,
145,Lotic Estuary,30.1,6.041666667,,
145.25,Lotic Estuary,30.7,6.052083333,,
145.5,Lotic Estuary,30.5,6.0625,,
145.75,Lotic Estuary,30.3,6.072916667,,
